idx,dist_m,x_m,y_m,elev_m,lat_deg,lon_deg,edge1_lat_deg,edge1_lon_deg,edge2_lat_deg,edge2_lon_deg
1114,3345.0000,-661.2430,-111.3680,590.385,50.33451530,6.93828116,50.33450629,6.93829832,50.33445731,6.93839158
1115,3348.0000,-659.3395,-109.0479,590.310,50.33453614,6.93830789,50.33452713,6.93832505,50.33447819,6.93841830
1116,3351.0000,-657.4359,-106.7289,590.239,50.33455699,6.93833462,50.33454799,6.93835178,50.33449907,6.93844501
1117,3354.0000,-655.5331,-104.4088,590.172,50.33457786,6.93836132,50.33456884,6.93837851,50.33451995,6.93847171
1118,3357.0000,-653.6295,-102.0898,590.103,50.33459874,6.93838800,50.33458970,6.93840523,50.33454082,6.93849839
1119,3360.0000,-651.7252,-99.7708,590.036,50.33461963,6.93841466,50.33461055,6.93843196,50.33456169,6.93852507
1120,3363.0000,-649.8209,-97.4518,589.966,50.33464053,6.93844131,50.33463140,6.93845870,50.33458255,6.93855174
1121,3366.0000,-647.9153,-95.1339,589.894,50.33466144,6.93846795,50.33465225,6.93848544,50.33460341,6.93857841
1122,3369.0000,-646.0088,-92.8171,589.823,50.33468235,6.93849460,50.33467309,6.93851220,50.33462425,6.93860507
1123,3372.0000,-644.1003,-90.5015,589.755,50.33470326,6.93852124,50.33469392,6.93853897,50.33464508,6.93863174
1124,3375.0000,-642.1911,-88.1869,589.689,50.33472417,6.93854789,50.33471474,6.93856577,50.33466590,6.93865841
1125,3378.0000,-640.2797,-85.8746,589.624,50.33474507,6.93857455,50.33473555,6.93859258,50.33468672,6.93868508
1126,3381.0000,-638.3662,-83.5633,589.563,50.33476596,6.93860123,50.33475634,6.93861942,50.33470752,6.93871175
1127,3384.0000,-636.4505,-81.2532,589.504,50.33478685,6.93862793,50.33477712,6.93864629,50.33472831,6.93873841
1128,3387.0000,-634.5320,-78.9464,589.448,50.33480773,6.93865466,50.33479789,6.93867319,50.33474909,6.93876508
1129,3390.0000,-632.6100,-76.6440,589.394,50.33482860,6.93868140,50.33481863,6.93870013,50.33476987,6.93879172
